Food,,Price,Oil,GL,Useble Cals,"AAF 
adj
 Prot","CarbsNet of
TDF",Total Fat,TDF,Sodium,Potassium,Phosphorus,Calcium,Magnecium,Total EAA,Lysine,Gross Prot-ein,Free Sugar,"AA
Factor",GI,C:P:F,,,Calcu-lted Cals
CEREALS,,,gms,,,gms,gms,gms,gms,,mgms,,,,mgms,mgms,gms,,,,,,,
Milk Hemp ,1,0.33,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.4,0.1,9.6,1.0,0.0,0.0,0.91,,,,,
NON - VEG,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Chicken - Broiler (Chicken thigh) (Skinless),1,0.24,0.0,0.4,1.9,0.2,0.0,0.1,0.0,0.6,2.6,1.9,0.2,0.2,101.1,13.5,0.2,0.0,0.92,,0,34,66,2
Egg (Whole) 1 no - 50 g,1,0.14,0.0,0.2,1.3,0.1,0.0,0.1,0.0,1.2,1.4,1.9,0.5,0.1,84.1,11.1,0.1,0.0,1.00,,0,39,61,1
Egg White - 1 no - 33 g,1,0.00,0.0,0.3,0.4,0.1,0.0,0.0,0.0,1.7,1.5,0.2,0.1,0.1,69.4,9.1,0.1,0.0,1.00,,0,99,1,0
Fish - Farm (Rohu),1,0.00,0.0,0.4,1.0,0.2,0.0,0.0,0.0,0.4,3.0,2.0,0.4,0.3,112.2,14.6,0.2,0.0,0.92,,0,77,23,1
Fish - Mackerel (US),1,0.00,0.0,0.4,1.0,0.2,0.0,0.0,0.0,0.8,3.1,2.3,0.3,0.4,96.6,12.6,0.2,0.0,0.92,,0,85,15,1
Fish-salmon ,1,0.55,0.0,0.4,1.7,0.2,0.0,0.1,0.0,0.2,3.5,2.1,0.2,0.3,94.7,10.5,0.2,0.0,0.92,,0,46,54,2
Fish - Sardin,1,0.00,0.0,0.4,1.5,0.2,0.0,0.1,0.0,0.4,2.3,1.9,0.4,0.2,82.2,10.6,0.2,0.0,0.92,,0,45,55,1
Mutton Muscle (Sheep Shoulder),1,0.90,0.0,0.4,2.0,0.2,0.0,0.1,0.0,0.5,3.4,2.0,0.1,0.2,125.8,16.4,0.2,0.0,0.92,,0,38,62,2
Mutton Liver,1,0.00,0.0,0.4,1.3,0.2,0.0,0.0,0.0,0.6,3.4,3.3,0.1,0.2,125.8,16.4,0.2,0.0,0.92,,0,65,35,1
Prawns,1,0.00,0.0,0.4,0.7,0.1,0.0,0.0,0.0,1.9,2.2,1.9,0.4,0.5,74.5,9.5,0.1,0.0,0.92,,0,87,13,1
Bone Broth* ,1,0.11,0.0,0.0,1.7,0.3,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,206.3,26.9,0.4,0.0,0.92,,0,79,21,2
Head & Leggs,1,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
